env,model,rel_l2_mean,rel_l2_std
Env A (Fully Observed),Vanilla NCA,0.034952462650835514,0.00687913503497839
Env A (Fully Observed),Memory-NCA,0.11847979202866554,0.011063974350690842
Env B (Sparse Probes),Vanilla NCA,0.695546012644294,0.002559016232000999
Env B (Sparse Probes),Memory-NCA,0.7042084471642377,0.024070829965727736
Env C (Coupled Memory),Vanilla NCA,0.04940023645758629,0.012961331754922867
Env C (Coupled Memory),Memory-NCA,0.10294609516859055,0.014028027653694153
