model,mode,gamma,parameters,transport_params,neural_macs_per_delta_T,transport_ops_per_delta_T,rel_l2_mean,rel_l2_std,final_rel_l2_mean,amp_err_mean,mean_abs_v,max_abs_v,cfl_frac_gt_1
Eulerian Vanilla NCA (gamma=0),vanilla,0.0,7765,0,1945344,0,0.40906920513096595,0.06129712180329125,1.576052206099795,0.21782944786051908,0.0,0.0,0.0
Advective Vanilla NCA (gamma=0.2),scaled_characteristic,0.2,7765,0,1945344,20480,0.42061800619286727,0.07424146373952084,1.6884517362662521,0.2561089829024341,0.07425449679916103,3.273223876953125,0.0
"Advective Vanilla NCA (gamma=1/3, Peak-Matched)",peak_matched,0.3333333333333333,7765,0,1945344,20480,0.40526577501799377,0.08484741754643625,1.591287229520878,0.2745764946771993,0.12412693972388904,5.453801155090332,0.0
Advective Vanilla NCA (gamma=0.5),scaled_characteristic,0.5,7765,0,1945344,20480,0.4017150176832873,0.06859212021054946,1.5357679823043322,0.2876316787054141,0.18611811018652383,7.789130687713623,0.0
"Advective Vanilla NCA (gamma=1.0, Char)",characteristic,1.0,7765,0,1945344,20480,0.3416303852317461,0.05749112300505484,1.0418712492678772,0.2242453514287869,0.3899716693494055,11.223701477050781,0.001736111111111111
Oracle Coherent (v=2A_true),oracle_true,1.0,7765,0,1945344,20480,0.3973450092762656,0.07561511750885971,1.4950317822068648,0.2739020188649495,1.7391757567723591,2.109894275665283,0.0
Learned Velocity (v=v_hat_theta),learned,1.0,7842,77,1963776,20480,0.3018356562786715,0.08642335345864673,0.9697847346900611,0.1454730634060171,0.03395380134073397,0.09106045216321945,0.0
Advective Memory-NCA (Cm=16),adv_memory,1.0,7769,0,1959424,20480,0.3682128682729208,0.037946463899154736,1.1551307381684979,0.19990811807413897,0.37528906348678803,10.756067276000977,0.0022650824652777775
Stationary Memory-NCA (Cm=16),stat_memory,0.0,7769,0,1951232,0,0.39172911990652143,0.029827664598575974,1.1073580750638812,0.1592087364859051,0.0,0.0,0.0
