K,delta_T,macs_per_delta_T,latency_ms,mean_rel_l2,train_time_sec
1,0.1,1951232,0.3387871599989012,2.2463844092819296,4.494716581015382
2,0.1,3902464,0.6483169499551877,1.6740475242383945,6.353565969970077
4,0.1,7804928,1.2962299399077892,0.7297357668907722,12.60580520000076
8,0.1,15609856,2.7685875695897266,0.6024198926423284,26.2512082530302
