model_key,model_name,parameters,macs_per_delta_T,one_step_rel_l2_mean,one_step_rel_l2_std,val_rollout_rel_l2_mean,val_rollout_rel_l2_std,val_final_rel_l2_mean,val_amp_err_mean,val_center_err_mean,long_horizon_rel_l2_mean,long_horizon_rel_l2_std,interp_rel_l2_mean,extrap_rel_l2_mean
vanilla_equal,Vanilla NCA (equal-hidden),5113,2558976,0.0917649245803593,0.0011490856148316847,2.4160520781427333,0.9624244089423872,13.989141397059877,0.7748540146093742,0.3330190548881015,80277913435070.2,101852847669251.0,2.444348220042424,2.789833266189388
vanilla_matched,Vanilla NCA (param-matched),7765,3890688,0.09379352942783166,0.0023571410675567663,2.523662241225616,1.0707682117259292,17.635539372878508,0.3711009233021268,0.430252415799222,1.0624969386694144e+17,1.437266331337666e+16,2.5421932136568324,2.31281954685233
memory_no_persistence,Memory-NCA (no-persistence),7769,3902464,0.09322362483166619,0.0021905622248364867,2.6923915753476506,1.01172511335581,15.798780987862324,0.7765729441946627,0.3001420753635072,33188268230523.527,46737987791659.07,2.725377554684704,3.302122221661532
memory_random_persistence,Memory-NCA (random-persistence),7769,3902464,0.1080034363743152,0.0012905744432612917,2.423459002189218,0.7131635532169277,12.111654606495193,0.5787210442564067,0.992961959979917,39157410033.56947,54816230270.04323,2.4081028403466744,2.286006612589914
memory_persistent,Memory-NCA (persistent),7769,3902464,0.09449900529990278,0.005386158789405649,2.8958076805718793,1.6510882364630088,17.173485614642896,0.870283224126872,0.3008079796151258,25410303225154.266,35933083961331.68,2.9257515711562463,3.174219114420751
cnn_baseline,CNN Baseline,10657,5406720,0.00943867260637303,0.0002007263617897077,0.07598563453170552,0.001068455305974945,0.15205598545691745,0.010729045990635367,0.07871693352055319,0.64577815364371,0.027214891683709747,0.10595615368503902,0.5316276833917555
