memory_dim,parameters,macs_per_delta_T,val_rel_l2,long_horizon_rel_l2,stability_metric
0,5113,2558976,1.6487449236519558,16647693593658.002,1.8125139688958476e-15
4,5681,2845696,0.9758364414025437,2171259081.7297835,1.9174702207244002e-11
8,6313,3165184,3.1082812099300234,5046168233376169.0,5.541356422392408e-18
16,7769,3902464,1.6740475242383945,855297880.5132389,5.045777857730282e-11
32,11449,5770240,1.241174186148755,2781841.394412368,2.118537561155718e-08
64,21881,11078656,1.5008006280420136,798900.4741862272,8.277063382561727e-08
