N,threads,single_latency_ms,inference_throughput,batch_throughput,whole_sim_throughput,t_single,parallel_efficiency
128,1,0.6072637997567654,1646.7307954146813,3157.2265634049204,1388.9921986068932,0.03036318998783827,1.0
128,2,0.6999028997961432,1428.7696197447738,3278.4582262217446,1572.9286394563567,0.03499514498980716,0.43382003413162007
128,4,0.6196422595530748,1613.834409424017,5043.315556698321,1562.9643679029432,0.030982112977653742,0.245005803911261
128,8,0.6660164194181561,1501.4644847248928,6993.972515716767,1514.1440359606836,0.03330082097090781,0.11397312852423404
128,12,1.366897140396759,731.583943258333,1134.148330519493,391.11299777646695,0.06834485701983795,0.03702203710200776
256,1,0.7910293596796691,1264.1755805435016,1296.6474974812284,1295.0464081868784,0.03955146798398346,1.0
256,2,0.9780940797645599,1022.396536988255,2380.78740502321,1051.7461184058918,0.04890470398822799,0.40437283899626525
256,4,0.8323038998059928,1201.4842177636035,3306.148814181535,1011.1074193900022,0.04161519499029964,0.23760232286069288
256,8,1.045223439577967,956.7332324691963,2931.326093985227,1049.0511656253186,0.052261171978898346,0.09460050953304605
256,12,1.7086874402593821,585.244542938876,1013.296201697969,589.2615799387036,0.0854343720129691,0.03857880133807997
512,1,1.084673759760335,921.9361960235451,784.7750046850294,950.2825941806087,0.054233687988016754,1.0
512,2,1.5269427199382335,654.9034138231793,923.1997650829915,635.4826031179126,0.07634713599691167,0.35517827407573327
512,4,1.4113125996664166,708.5602440142346,888.3483141716378,698.9565253908409,0.07056562998332083,0.19213917597290509
512,8,1.5619410807266831,640.2290152550162,978.7061903118775,613.03621532595,0.07809705403633416,0.0868049516355394
512,12,3.1923357991036028,313.250254024278,330.97745005086944,436.2995559056363,0.15961678995518014,0.028314527564866136
1024,1,1.6838331602048129,593.8830661099257,419.8940334394799,597.9986591674999,0.08419165801024064,1.0
1024,2,2.160613340092823,462.83154021303903,506.79970278847316,453.229471658639,0.10803066700464115,0.38966554749969123
1024,4,1.7005715996492654,588.0375752519006,606.215752289273,568.0104632688277,0.08502857998246327,0.24753929216389584
1024,8,1.849411299917847,540.7126040834838,403.7374702370242,529.9323831051026,0.09247056499589235,0.1138087266120583
1024,12,1.8649793800432235,536.1989578548711,278.6401287269701,474.15625553646504,0.09324896900216118,0.07523913214194124
2048,1,3.0698133597616106,325.75270311471184,186.77827262856212,313.2530651615052,0.15349066798808053,1.0
2048,2,3.364739998942241,297.19978373198694,267.5969004815149,305.18012593835186,0.16823699994711205,0.45617393330935746
2048,4,2.5561787199694663,391.2089527182767,268.94222032215026,390.8497234263848,0.12780893599847332,0.30023461737822854
2048,8,2.700558239594102,370.2938101236067,226.88207572059878,377.3858121209068,0.1350279119797051,0.14209161066930964
2048,12,2.921212899964303,342.32356019385645,168.45192309503238,373.27884150799633,0.14606064499821514,0.0875724532036882
