gamma,mean_rel_l2,std_rel_l2
-1.0,0.5284613809500063,0.0314204287350491
-0.5,0.5550922412632726,0.03693823873143387
0.0,0.5910705364036813,0.048860476265479465
0.1,0.5585786451722886,0.050611643891878576
0.2,0.5217672671132927,0.050883963737415064
0.3333333333333333,0.4714289631931133,0.04983960331885952
0.5,0.41558293769968085,0.04954743719938762
0.75,0.3607772012274697,0.05378698185501764
1.0,0.3416303852317461,0.05749112300505484
1.25,0.34383378330173264,0.057576314465598535
1.5,0.35297759109396987,0.05581988282950016
2.0,0.37175832752549637,0.05111806502353421
